Filename                                              Regions  Missed Regions    Cover  Functions  Missed Functions  Executed  Lines  Missed Lines    Cover  Branches  Missed Branches  Cover
xtask\src\parity\vendor_openapi.rs                         56              14   75.00%          5                 3    40.00%     24             4   83.33%         0                0      -
xtask\src\policy\check_adr_coverage.rs                    206             134   34.95%         18                14    22.22%    155            89   42.58%         0                0      -
xtask\src\policy\check_alloy_family_pins.rs               216              44   79.63%         19                 2    89.47%    124            25   79.84%         0                0      -
xtask\src\policy\check_chain_patch_eligibility.rs         227              99   56.39%         10                 4    60.00%    140            61   56.43%         0                0      -
xtask\src\policy\check_deny_unknown_fields.rs              99              47   52.53%          6                 4    33.33%     77            40   48.05%         0                0      -
xtask\src\policy\check_enum_policy.rs                     128              59   53.91%          6                 4    33.33%     81            47   41.98%         0                0      -
xtask\src\policy\check_msrv_notice.rs                     136             124    8.82%         12                11     8.33%    105            96    8.57%         0                0      -
xtask\src\policy\check_panic_allowlist.rs                 371             178   52.02%         25                10    60.00%    256           115   55.08%         0                0      -
xtask\src\policy\check_property_citations.rs              177              49   72.32%         16                 4    75.00%    119            30   74.79%         0                0      -
xtask\src\policy\check_readme_include.rs                   56              33   41.07%          5                 2    60.00%     45            29   35.56%         0                0      -
xtask\src\policy\check_shell_wrappers.rs                   71              37   47.89%         10                 2    80.00%     55            27   50.91%         0                0      -
xtask\src\policy\check_source_lock_roots.rs               219             107   51.14%         19                 9    52.63%    151            71   52.98%         0                0      -
xtask\src\policy\check_wasm_invariant.rs                  277             238   14.08%         16                14    12.50%    197           169   14.21%         0                0      -
xtask\src\policy\check_workflow_security.rs               151              61   59.60%          9                 4    55.56%     79            33   58.23%         0                0      -
xtask\src\policy\check_workspace_versions.rs              170             139   18.24%         10                 9    10.00%     92            69   25.00%         0                0      -
xtask\src\policy\classify_release.rs                      220              92   58.18%         22                11    50.00%    140            58   58.57%         0                0      -
xtask\src\policy\dependency_invariant.rs                  136              50   63.24%         10                 4    60.00%     98            38   61.22%         0                0      -
xtask\src\policy\fences.rs                                370             302   18.38%         34                29    14.71%    203           169   16.75%         0                0      -
xtask\src\policy\fixtures.rs                               19              19    0.00%          3                 3     0.00%      8             8    0.00%         0                0      -
xtask\src\policy\mod.rs                                    26              26    0.00%          1                 1     0.00%     16            16    0.00%         0                0      -
xtask\src\policy\run_deterministic_examples.rs             73              40   45.21%          6                 3    50.00%     50            29   42.00%         0                0      -
xtask\src\policy\workspace.rs                             660             556   15.76%         57                49    14.04%    389           323   16.97%         0                0      -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL (xtask)                                            7730            4109   46.84%        583               326    44.08%   4746          2458   48.21%         0                0      -
